hour,winter_wd,winter_we,summer_wd,summer_we,springfall_wd,springfall_we
1,0.807229,0.940231,0.771859,0.895161,0.759036,0.899101
2,0.759036,0.867906,0.723618,0.846774,0.746988,0.875125
3,0.722892,0.819689,0.699497,0.798387,0.722892,0.827173
4,0.710843,0.795580,0.675377,0.786290,0.698795,0.791209
5,0.710843,0.771472,0.675377,0.774194,0.710843,0.779221
6,0.722892,0.783526,0.699497,0.750000,0.783133,0.779221
7,0.891566,0.795580,0.771859,0.750000,0.867470,0.815185
8,1.036145,0.843797,0.916583,0.798387,1.024096,0.887113
9,1.144578,0.964340,1.049246,0.979839,1.144578,0.995005
10,1.156627,1.060773,1.145729,1.040323,1.192771,1.066933
11,1.156627,1.084882,1.193970,1.100806,1.204819,1.102897
12,1.144578,1.096936,1.206030,1.125000,1.192771,1.126873
13,1.144578,1.084882,1.193970,1.125000,1.120482,1.090909
14,1.144578,1.060773,1.206030,1.112903,1.108434,1.078921
15,1.120482,1.048719,1.206030,1.100806,1.084337,1.078921
16,1.132530,1.048719,1.169849,1.100806,1.060241,1.030969
17,1.192771,1.096936,1.157789,1.112903,1.084337,1.018981
18,1.204819,1.205424,1.157789,1.137097,1.108434,1.054945
19,1.204819,1.193370,1.121608,1.149194,1.156627,1.102897
20,1.156627,1.169262,1.109548,1.149194,1.180723,1.198801
21,1.096386,1.133099,1.109548,1.209677,1.156627,1.162837
22,1.000000,1.108990,1.121608,1.125000,1.084337,1.138861
23,0.879518,1.048719,1.049246,1.064516,0.963855,1.078921
24,0.759036,0.976394,0.868342,0.967742,0.843373,1.018981
