slot,hour,minute,n_samples,q05,q10,q20,q30,q40,q50,q60,q70,q80,q90,q95
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0,3,0.0002510311015548109,0.0003670341954014363,0.0009171412368582807,0.001678297252908329,0.0020583744681695495,0.0026501932215859877,0.0030303590266181203,0.0033736042629481143,0.005540279204941616,0.006968967482676426,0.006968967482676426
8,8,0,47,0.04112382785126047,0.04602728702400295,0.05004581883642405,0.05430523185469743,0.05684262512128803,0.06008742704955934,0.06209358281487494,0.06369896499257044,0.06936886192717726,0.07455163667850487,0.07538002248324137
9,9,0,101,0.1626685588058777,0.17377951411697995,0.18370778030638152,0.1894880335925444,0.19413904913157515,0.19969656807262665,0.2028533836329811,0.20643309660497905,0.2123867658926669,0.22209259263281195,0.22719423206211292
10,10,0,109,0.37760860865722257,0.3916503934906914,0.40673404803016755,0.41516722921620597,0.4222518134830011,0.4300649858903583,0.4346868816653911,0.44193451966053654,0.4492353607613292,0.4621829100592677,0.47314900183173314
11,11,0,109,0.5423980693372389,0.5610486116715582,0.5812034079095927,0.5918323922491211,0.6000304310596158,0.6094041641541785,0.6154516960765888,0.6253545937055061,0.6343295831893981,0.6493610263936008,0.6644492841350238
12,12,0,109,0.6083512049259874,0.6292539921616276,0.6507003807415669,0.6632111797198998,0.671003528272121,0.6811825861771688,0.6876387800115983,0.6988397878803925,0.7082369292083704,0.7246392718425003,0.7434024064210598
13,13,0,109,0.6095319792334164,0.6315559093188137,0.653445295016333,0.6683801572267885,0.6758495723508523,0.6866519799876715,0.6931542566384572,0.7050524624186683,0.7150757898809695,0.7333962248563278,0.7541642796002296
14,14,0,109,0.5894766830292518,0.6119081780768578,0.6340756023640103,0.6488788844538685,0.6560176466723573,0.6657594902252489,0.6722058191847026,0.6826596380251907,0.6920430412454406,0.7097485504535308,0.7310256434553596
15,15,0,109,0.5370553472098805,0.5584689772479178,0.5826931762861607,0.5951093116679711,0.6026918490450177,0.6112668890359989,0.6177381530518166,0.6275393387472165,0.6373721074369835,0.6542703178795123,0.6738899361162362
16,16,0,109,0.4205772985734694,0.4359437226019233,0.45603964629972976,0.46552712844500405,0.4731444195461515,0.48000086911298345,0.48698466779024463,0.4969487455484199,0.5060846054028897,0.5236504371319345,0.5418050958570351
17,17,0,109,0.1967275347055883,0.2050867959270156,0.21462012545403894,0.2233398824055346,0.2272527580765729,0.23292523131535958,0.2382586556761407,0.24461181112093106,0.2527070268010652,0.26693698869043997,0.28126380919946564
18,18,0,63,0.0655780894323163,0.06842253411870985,0.0718790729640625,0.07629644184869505,0.07802622878523387,0.08098086004559088,0.0829190947338602,0.08531500636617717,0.09095575485285842,0.0981246614666369,0.10343595274324698
19,19,0,14,0.007623647022068572,0.00809446968711686,0.009517117438300568,0.011982248467921702,0.012293829964026668,0.01376275746495402,0.014395735192893777,0.015180870480166727,0.019727071264439174,0.023076626294886285,0.02375679738859409
20,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
