pen,cap_MW,sd_ratio,saa_cost,dro_cost,saa_cvar95,dro_cvar95,saa_worst,dro_worst,d_cvar95,d_worst
1,0.5,0.000549991501109224,1459.31159187992,1459.31159187992,1508.93086005939,1508.93086005939,1518.8746945678,1518.8746945678,0,0
1.5,0.5,0.000824987251663836,1273.17817733156,1273.17817733156,1347.60707960076,1347.60707960076,1362.52283136338,1362.52283136338,0,0
2,0.5,0.00109998300221845,1092.30086034417,1092.30086034417,1191.53939670311,1191.53939670311,1211.42706571994,1211.42706571994,0,0
3,0.5,0.00164997450332767,829.395009923199,829.395009923199,895.691969571396,895.691969571396,903.746276841175,903.746276841175,0,0
1,1,0.000549991501109224,1449.29259329791,1449.29259316361,1498.91186386113,1498.91186134308,1508.8557031503,1508.8556958515,2.51804499384889e-06,7.29879934624478e-06
1.5,1,0.000824987251663836,1263.15917861525,1263.15917861525,1337.58808088446,1337.58808088446,1352.50383264708,1352.50383264708,0,0
2,1,0.00109998300221845,1082.43269656814,1082.43269656814,1181.67124246221,1181.67124246221,1201.5589306023,1201.5589306023,0,0
3,1,0.00164997450332767,816.545884069293,816.545882860599,880.947405562675,880.947393694243,895.849733799242,895.849668108284,1.18684320113971e-05,6.56909578538034e-05
1,2,0.000549991501109224,1449.29259329791,1449.29259316361,1498.91186386113,1498.91186134308,1508.8557031503,1508.8556958515,2.51804499384889e-06,7.29879934624478e-06
1.5,2,0.000824987251663836,1263.15917861525,1263.15917861525,1337.58808088446,1337.58808088446,1352.50383264708,1352.50383264708,0,0
2,2,0.00109998300221845,1082.43269656814,1082.43269656814,1181.67124246221,1181.67124246221,1201.5589306023,1201.5589306023,0,0
3,2,0.00164997450332767,816.545884069293,816.545882860599,880.947405562675,880.947393694243,895.849733799242,895.849668108284,1.18684320113971e-05,6.56909578538034e-05
1,4,0.000549991501109224,1449.29259329791,1449.29259316361,1498.91186386113,1498.91186134308,1508.8557031503,1508.8556958515,2.51804499384889e-06,7.29879934624478e-06
1.5,4,0.000824987251663836,1263.15917861525,1263.15917861525,1337.58808088446,1337.58808088446,1352.50383264708,1352.50383264708,0,0
2,4,0.00109998300221845,1082.43269656814,1082.43269656814,1181.67124246221,1181.67124246221,1201.5589306023,1201.5589306023,0,0
3,4,0.00164997450332767,816.545884069293,816.545882860599,880.947405562675,880.947393694243,895.849733799242,895.849668108284,1.18684320113971e-05,6.56909578538034e-05
