mask,n_tie_closed,converged,loss_kW,vmin_pu,vmax_pu,max_load_pct
0,0,1,210.998336028514,0.903771996832248,1,84.2692642303035
1,1,1,158.176408792243,0.931136955136235,1,83.1371498242005
2,1,1,204.258495127205,0.916223381423791,1,84.1248342788321
3,2,1,152.271204168986,0.931201775763462,1,83.0106004791142
4,1,1,153.959864069042,0.929603638737877,1,83.0467690913441
5,2,1,144.219643048291,0.933383205903772,1,82.8380140437311
6,2,1,152.86821193553,0.929230107114241,1,83.0234008878454
7,3,1,141.849871656875,0.933192010257123,1,82.7872507765348
8,1,1,208.272437669165,0.912273712190208,1,84.2108705946701
9,2,1,156.790132533253,0.932022229191821,1,83.1074413219819
10,2,1,203.038524519798,0.916328710862905,1,84.0986957934221
11,3,1,148.973244338722,0.936772036362411,1,82.9398978748528
12,2,1,150.252295642824,0.935318614314909,1,82.9672675472644
13,3,1,140.979409098165,0.938651840318815,1,82.7685410745528
14,3,1,146.745024356407,0.93799905801771,1,82.892115250156
15,4,1,135.648405138369,0.942259954479126,1,82.6542955028891
16,1,1,175.834467790849,0.914603034013364,1,83.5157231884121
17,2,1,139.012197855919,0.938128865822885,1,82.7265167047369
18,2,1,169.417080619353,0.92687412189844,1,83.3781990380959
19,3,1,133.215886354368,0.949734361602549,1,82.6022987387797
20,2,1,133.438001134497,0.949124056106603,1,82.6070315752643
21,3,1,127.046903668401,0.950874425191474,1,82.470056488475
22,3,1,132.028546559126,0.948902422966846,1,82.5768514428903
23,4,1,124.531787196827,0.950765064930703,1,82.4161767009118
24,2,1,168.535420522398,0.934132948693438,1,83.3593409217792
25,3,1,137.314312936892,0.946256852850096,1,82.690149772732
26,3,1,166.31118020486,0.937271601797311,1,83.3116706802833
27,4,1,132.752847677897,0.949760760390131,1,82.592377722554
28,3,1,133.098210485338,0.949179817144665,1,82.5997533824564
29,4,1,126.639136081391,0.950959090011372,1,82.4613207449786
30,4,1,131.150507768376,0.950818939935836,1,82.5580179976378
31,5,1,123.371057368696,0.953218927270394,1,82.3912813041062
